tx_id	gene_id	index
ENST00000413887	ENSG00000236948	908
ENST00000401226	ENSG00000216045	909
ENST00000582517	ENSG00000264101	910
ENST00000378156	ENSG00000131697	915
ENST00000585151	ENSG00000266687	921
ENST00000378097	ENSG00000069424	923
ENST00000594544	ENSG00000268332	937
ENST00000262450	ENSG00000116254	943
ENST00000471204	ENSG00000116251	954
ENST00000455744	ENSG00000226944	958
ENST00000377948	ENSG00000158286	961
ENST00000343813	ENSG00000116237	969
ENST00000441724	ENSG00000225077	974
ENST00000377898	ENSG00000173673	976
ENST00000377893	ENSG00000158292	977
ENST00000361521	ENSG00000097021	984
ENST00000607670	ENSG00000271746	989
ENST00000377837	ENSG00000069812	990
ENST00000377828	ENSG00000187017	996
ENST00000585139	ENSG00000265392	997
ENST00000419034	ENSG00000231868	999
ENST00000356876	ENSG00000215788	1013
ENST00000377748	ENSG00000171680	1029
LRG_262t1	LRG_262	1032
ENST00000377705	ENSG00000162408	1043
ENST00000517213	ENSG00000253022	1046
ENST00000456162	ENSG00000229519	1047
ENST00000333172	ENSG00000173662	1050
ENST00000377674	ENSG00000204859	1057
ENST00000467612	ENSG00000162413	1065
ENST00000377648	ENSG00000116273	1068
ENST00000377627	ENSG00000041988	1073
ENST00000377577	ENSG00000007923	1080
ENST00000414210	ENSG00000228750	1093
ENST00000459253	ENSG00000239166	1095
ENST00000442889	ENSG00000237436	1096
ENST00000303635	ENSG00000171735	1097
ENST00000433407	ENSG00000227950	1107
ENST00000456701	ENSG00000237365	1112
ENST00000384328	ENSG00000207056	1113
ENST00000427317	ENSG00000237402	1114
ENST00000457311	ENSG00000237728	1115
ENST00000440032	ENSG00000225126	1117
ENST00000602640	ENSG00000270171	1118
ENST00000602973	ENSG00000270035	1119
ENST00000602916	ENSG00000269978	1120
ENST00000054666	ENSG00000049245	1124
ENST00000602406	ENSG00000269925	1126
ENST00000377532	ENSG00000049246	1129
ENST00000451646	ENSG00000236266	1134
ENST00000377516	ENSG00000049247	1136
ENST00000377507	ENSG00000049249	1139
ENST00000603760	ENSG00000270330	1142
ENST00000493373	ENSG00000116288	1143
ENST00000363474	ENSG00000200344	1153
ENST00000474874	ENSG00000116285	1154
ENST00000445300	ENSG00000238290	1159
ENST00000399343	ENSG00000232848	1160
ENST00000453364	ENSG00000229305	1161
ENST00000364105	ENSG00000200975	1162
ENST00000452982	ENSG00000227634	1163
ENST00000424689	ENSG00000233645	1164
ENST00000585092	ENSG00000265414	1165
ENST00000516168	ENSG00000251977	1166
ENST00000471889	ENSG00000162426	1167
ENST00000516445	ENSG00000252254	1170
ENST00000337907	ENSG00000142599	1173
ENST00000449895	ENSG00000232912	1186
ENST00000408156	ENSG00000221083	1190
ENST00000605785	ENSG00000270282	1191
ENST00000437586	ENSG00000234619	1195
ENST00000428803	ENSG00000224315	1196
ENST00000410579	ENSG00000222511	1197
ENST00000445254	ENSG00000226545	1198
ENST00000433876	ENSG00000228423	1199
ENST00000436229	ENSG00000229716	1200
ENST00000234590	ENSG00000074800	1201
ENST00000414948	ENSG00000236269	1207
ENST00000442636	ENSG00000230679	1208
ENST00000364855	ENSG00000201725	1209
ENST00000425872	ENSG00000238249	1210
ENST00000424862	ENSG00000232208	1212
ENST00000431968	ENSG00000232663	1213
ENST00000377443	ENSG00000131686	1217
ENST00000583026	ENSG00000265141	1220
ENST00000400906	ENSG00000197241	1221
ENST00000486632	ENSG00000142583	1230
ENST00000516595	ENSG00000252404	1234
ENST00000377411	ENSG00000180758	1235
ENST00000385130	ENSG00000207865	1239
ENST00000437157	ENSG00000228526	1240
ENST00000412639	ENSG00000234546	1241
ENST00000377403	ENSG00000049239	1242
ENST00000517032	ENSG00000252841	1245
ENST00000328089	ENSG00000171621	1246
ENST00000517147	ENSG00000252956	1250
ENST00000441033	ENSG00000235263	1251
ENST00000302692	ENSG00000171612	1252
ENST00000435277	ENSG00000231181	1253
ENST00000377376	ENSG00000188807	1254
ENST00000536656	ENSG00000171608	1260
LRG_191t1	LRG_191	1261
ENST00000377320	ENSG00000179840	1263
ENST00000426570	ENSG00000233268	1264
ENST00000415330	ENSG00000231789	1265
ENST00000377298	ENSG00000171603	1271
ENST00000603781	ENSG00000271264	1277
ENST00000377263	ENSG00000178585	1278
ENST00000454104	ENSG00000223989	1279
ENST00000377223	ENSG00000162441	1285
ENST00000445884	ENSG00000228150	1290
ENST00000377205	ENSG00000173614	1292
ENST00000365545	ENSG00000202415	1295
ENST00000578045	ENSG00000265521	1296
ENST00000413148	ENSG00000241326	1298
ENST00000294435	ENSG00000162444	1300
ENST00000450492	ENSG00000225786	1301
ENST00000377157	ENSG00000130939	1303
ENST00000456484	ENSG00000224340	1306
ENST00000416729	ENSG00000233623	1307
ENST00000364876	ENSG00000201746	1313
LRG_252t1	LRG_252	1316
ENST00000377086	ENSG00000054523	1319
ENST00000577266	ENSG00000264881	1320
ENST00000362692	ENSG00000199562	1325
ENST00000584329	ENSG00000264501	1326
ENST00000579866	ENSG00000265945	1330
ENST00000270776	ENSG00000142657	1335
ENST00000607572	ENSG00000271989	1343
ENST00000602787	ENSG00000175279	1344
ENST00000400900	ENSG00000251503	1346
ENST00000377049	ENSG00000241563	1355
ENST00000377038	ENSG00000160049	1357
ENST00000424487	ENSG00000203469	1358
ENST00000356607	ENSG00000142655	1362
ENST00000461850	ENSG00000243267	1366
ENST00000377022	ENSG00000130940	1367
ENST00000606802	ENSG00000272078	1369
ENST00000450782	ENSG00000225158	1377
ENST00000377004	ENSG00000175262	1380
ENST00000400899	ENSG00000215785	1384
ENST00000582090	ENSG00000264181	1385
ENST00000384484	ENSG00000207213	1386
ENST00000240185	ENSG00000120948	1388
ENST00000400897	ENSG00000009724	1397
ENST00000607145	ENSG00000271895	1398
ENST00000376957	ENSG00000116649	1403
ENST00000376936	ENSG00000171824	1409
ENST00000452378	ENSG00000226849	1413
ENST00000435388	ENSG00000230337	1422
ENST00000361445	ENSG00000198793	1424
ENST00000445982	ENSG00000225602	1430
ENST00000517277	ENSG00000253086	1432
ENST00000607349	ENSG00000271794	1433
ENST00000376819	ENSG00000171819	1434
ENST00000384720	ENSG00000207451	1436
ENST00000448289	ENSG00000238173	1437
ENST00000483738	ENSG00000120942	1441
ENST00000433562	ENSG00000238199	1442
ENST00000435243	ENSG00000224338	1443
ENST00000294484	ENSG00000204624	1445
ENST00000453135	ENSG00000235643	1448
ENST00000354287	ENSG00000116661	1449
ENST00000376770	ENSG00000132879	1456
ENST00000376753	ENSG00000116663	1463
ENST00000235310	ENSG00000116670	1466
ENST00000294485	ENSG00000162490	1475
ENST00000376637	ENSG00000177674	1476
ENST00000433342	ENSG00000215910	1490
ENST00000376620	ENSG00000177553	1494
ENST00000376590	ENSG00000177000	1500
ENST00000312413	ENSG00000011021	1508
ENST00000446542	ENSG00000242349	1517
ENST00000376476	ENSG00000175206	1520
ENST00000376468	ENSG00000120937	1521
ENST00000438808	ENSG00000224904	1522
ENST00000362477	ENSG00000199347	1523
ENST00000364931	ENSG00000201801	1524
ENST00000376572	ENSG00000116685	1525
ENST00000196061	ENSG00000083444	1532
ENST00000444836	ENSG00000116688	1537
LRG_255t1	LRG_255	1538
ENST00000603287	ENSG00000270914	1544
ENST00000235332	ENSG00000116691	1546
ENST00000365591	ENSG00000202461	1550
ENST00000496974	ENSG00000243539	1554
ENST00000263932	ENSG00000120949	1555
ENST00000364265	ENSG00000201135	1558
ENST00000439324	ENSG00000227875	1559
ENST00000376259	ENSG00000028137	1562
ENST00000584158	ENSG00000263676	1565
ENST00000453852	ENSG00000225196	1567
ENST00000517160	ENSG00000252969	1568
ENST00000358136	ENSG00000048707	1569
ENST00000459326	ENSG00000239149	1585
ENST00000416696	ENSG00000229484	1586
ENST00000376223	ENSG00000162496	1587
ENST00000408413	ENSG00000221340	1589
ENST00000606790	ENSG00000272482	1592
ENST00000376221	ENSG00000204518	1593
ENST00000436879	ENSG00000226166	1594
ENST00000332530	ENSG00000188984	1595
ENST00000458803	ENSG00000238771	1597
ENST00000288048	ENSG00000157330	1598
ENST00000357726	ENSG00000116726	1601
ENST00000332296	ENSG00000116721	1602
ENST00000438401	ENSG00000228338	1604
ENST00000535591	ENSG00000204513	1605
ENST00000438176	ENSG00000231103	1607
ENST00000317869	ENSG00000179172	1608
ENST00000240189	ENSG00000120952	1609
ENST00000235349	ENSG00000243073	1610
ENST00000235347	ENSG00000187545	1611
ENST00000361079	ENSG00000204510	1612
ENST00000384703	ENSG00000207434	1614
ENST00000418187	ENSG00000234064	1615
ENST00000376192	ENSG00000232423	1618
ENST00000504262	ENSG00000250894	1620
ENST00000376187	ENSG00000204508	1621
ENST00000436041	ENSG00000239810	1622
ENST00000605221	ENSG00000270601	1625
ENST00000512015	ENSG00000250113	1626
ENST00000415919	ENSG00000204505	1627
ENST00000437631	ENSG00000233336	1628
ENST00000448180	ENSG00000229978	1629
ENST00000458709	ENSG00000236179	1631
ENST00000449855	ENSG00000179412	1632
ENST00000457244	ENSG00000224199	1634
ENST00000423177	ENSG00000229571	1635
ENST00000353410	ENSG00000204503	1636
ENST00000453094	ENSG00000233394	1638
ENST00000376168	ENSG00000204502	1639
ENST00000431596	ENSG00000231219	1640
ENST00000384780	ENSG00000207511	1641
ENST00000357367	ENSG00000182330	1642
ENST00000437300	ENSG00000237700	1643
ENST00000376152	ENSG00000204501	1644
ENST00000432559	ENSG00000228229	1645
ENST00000376132	ENSG00000204495	1646
ENST00000376126	ENSG00000204491	1647
ENST00000376121	ENSG00000204488	1648
ENST00000332192	ENSG00000204486	1649
ENST00000359310	ENSG00000204485	1651
ENST00000447851	ENSG00000224581	1653
ENST00000330087	ENSG00000157358	1654
ENST00000344998	ENSG00000204481	1655
ENST00000540591	ENSG00000204480	1658
ENST00000376098	ENSG00000204479	1660
ENST00000316412	ENSG00000204478	1661
ENST00000376085	ENSG00000162494	1663
ENST00000563570	ENSG00000259961	1664
ENST00000401091	ENSG00000215909	1665
ENST00000294489	ENSG00000162493	1666
ENST00000411020	ENSG00000222952	1676
ENST00000577470	ENSG00000266358	1677
ENST00000441809	ENSG00000237445	1678
ENST00000517276	ENSG00000253085	1679
ENST00000376048	ENSG00000116731	1681
ENST00000516342	ENSG00000252151	1694
ENST00000449215	ENSG00000231606	1695
ENST00000447908	ENSG00000234593	1696
ENST00000376030	ENSG00000189337	1698
ENST00000416175	ENSG00000235829	1701
ENST00000310916	ENSG00000175147	1707
ENST00000428417	ENSG00000171729	1708
ENST00000424792	ENSG00000204464	1714
ENST00000400795	ENSG00000215720	1716
ENST00000358897	ENSG00000142621	1717
ENST00000428747	ENSG00000233485	1730
ENST00000439788	ENSG00000236045	1733
ENST00000427824	ENSG00000228140	1745
ENST00000375980	ENSG00000142634	1746
ENST00000375943	ENSG00000162438	1749
ENST00000359621	ENSG00000142615	1753
ENST00000375910	ENSG00000215704	1756
ENST00000546424	ENSG00000132906	1759
ENST00000375849	ENSG00000116138	1773
ENST00000516057	ENSG00000251866	1774
ENST00000606186	ENSG00000272510	1777
ENST00000375826	ENSG00000116771	1781
ENST00000428945	ENSG00000237301	1782
ENST00000420030	ENSG00000235084	1783
ENST00000516608	ENSG00000252417	1785
ENST00000422383	ENSG00000236500	1786
ENST00000480945	ENSG00000197312	1787
ENST00000345034	ENSG00000215695	1793
ENST00000606262	ENSG00000271742	1794
ENST00000375799	ENSG00000116786	1795
ENST00000584345	ENSG00000264048	1797
ENST00000453804	ENSG00000237938	1799
ENST00000294454	ENSG00000162461	1801
ENST00000418525	ENSG00000224459	1804
ENST00000375782	ENSG00000162460	1805
ENST00000375771	ENSG00000162458	1811
ENST00000431782	ENSG00000224321	1823
ENST00000538385	ENSG00000233954	1824
ENST00000395968	ENSG00000178715	1826
ENST00000317122	ENSG00000179743	1829
ENST00000375759	ENSG00000065526	1830
ENST00000459258	ENSG00000238818	1834
ENST00000604816	ENSG00000270620	1835
ENST00000375733	ENSG00000116809	1840
ENST00000416882	ENSG00000234607	1854
ENST00000424379	ENSG00000231353	1855
ENST00000505954	ENSG00000224966	1856
ENST00000329454	ENSG00000183888	1857
ENST00000437156	ENSG00000233078	1858
ENST00000375718	ENSG00000173641	1862
ENST00000375692	ENSG00000186510	1869
ENST00000447882	ENSG00000232456	1875
ENST00000375679	ENSG00000184908	1876
ENST00000375662	ENSG00000185519	1879
ENST00000358432	ENSG00000142627	1881
ENST00000424774	ENSG00000227959	1885
ENST00000426353	ENSG00000224621	1886
ENST00000457809	ENSG00000234166	1888
ENST00000270747	ENSG00000142632	1889
ENST00000602586	ENSG00000237276	1896
ENST00000375605	ENSG00000204377	1897
ENST00000375599	ENSG00000132881	1898
ENST00000421314	ENSG00000233929	1900
ENST00000375592	ENSG00000037637	1901
ENST00000401088	ENSG00000055070	1906
ENST00000445689	ENSG00000226457	1916
ENST00000335496	ENSG00000187144	1919
ENST00000337132	ENSG00000157191	1922
ENST00000457898	ENSG00000226029	1935
ENST00000263511	ENSG00000080947	1936
ENST00000383925	ENSG00000206652	1942
ENST00000562878	ENSG00000261135	1943
ENST00000452795	ENSG00000224174	1944
ENST00000415386	ENSG00000233421	1945
ENST00000601199	ENSG00000268674	1947
ENST00000438396	ENSG00000225710	1948
ENST00000577341	ENSG00000266584	1949
ENST00000430580	ENSG00000219481	1950
ENST00000607700	ENSG00000271732	1959
ENST00000412962	ENSG00000215908	1961
ENST00000334429	ENSG00000186301	1963
ENST00000384782	ENSG00000207513	1966
ENST00000434336	ENSG00000237847	1967
ENST00000584111	ENSG00000264742	1968
ENST00000419267	ENSG00000236698	1969
ENST00000270691	ENSG00000268869	1971
ENST00000600179	ENSG00000268991	1974
ENST00000384659	ENSG00000207389	1976
ENST00000457096	ENSG00000227684	1977
ENST00000545160	ENSG00000186715	1982
ENST00000422345	ENSG00000223643	1984
ENST00000414128	ENSG00000230239	1985
ENST00000583661	ENSG00000263811	1986
ENST00000438002	ENSG00000228549	1987
ENST00000457075	ENSG00000238142	1994
ENST00000453917	ENSG00000235241	1995
ENST00000384278	ENSG00000207005	1996
ENST00000606899	ENSG00000272426	1997
ENST00000375541	ENSG00000058453	1998
ENST00000375535	ENSG00000117122	2012
ENST00000446261	ENSG00000226526	2017
ENST00000452699	ENSG00000159363	2020
ENST00000375499	ENSG00000117118	2032
LRG_316t1	LRG_316	2033
ENST00000375486	ENSG00000117115	2041
ENST00000516371	ENSG00000252180	2046
ENST00000412427	ENSG00000204362	2047
ENST00000375471	ENSG00000142623	2048
ENST00000375460	ENSG00000142619	2054
ENST00000582732	ENSG00000266634	2055
ENST00000375448	ENSG00000159339	2057
ENST00000602074	ENSG00000269468	2058
ENST00000434762	ENSG00000256049	2062
ENST00000375436	ENSG00000179051	2064
ENST00000439577	ENSG00000227751	2065
ENST00000583469	ENSG00000266727	2068
ENST00000458798	ENSG00000239020	2069
ENST00000452522	ENSG00000074964	2071
ENST00000430540	ENSG00000236648	2083
ENST00000375406	ENSG00000117148	2084
ENST00000569711	ENSG00000261781	2085
ENST00000251296	ENSG00000117154	2086
ENST00000419667	ENSG00000230035	2087
ENST00000420211	ENSG00000225387	2091
ENST00000400664	ENSG00000179023	2092
ENST00000441355	ENSG00000235282	2094
ENST00000450125	ENSG00000225478	2095
ENST00000420770	ENSG00000009709	2097
ENST00000375371	ENSG00000179002	2099
ENST00000494072	ENSG00000255275	2100
ENST00000375341	ENSG00000159423	2102
ENST00000577305	ENSG00000265606	2107
ENST00000408735	ENSG00000221662	2108
ENST00000455833	ENSG00000169991	2109
ENST00000606379	ENSG00000272084	2112
ENST00000375254	ENSG00000127481	2113
ENST00000582644	ENSG00000266098	2123
ENST00000437898	ENSG00000230424	2136
ENST00000477853	ENSG00000127463	2137
ENST00000330263	ENSG00000053372	2151
ENST00000420396	ENSG00000211454	2155
ENST00000361640	ENSG00000162482	2158
ENST00000604801	ENSG00000270728	2159
ENST00000235835	ENSG00000053371	2160
ENST00000363533	ENSG00000200403	2164
ENST00000375155	ENSG00000040487	2166
ENST00000583604	ENSG00000265192	2171
ENST00000401084	ENSG00000077549	2173
ENST00000481521	ENSG00000240490	2184
ENST00000364739	ENSG00000201609	2185
ENST00000458906	ENSG00000239027	2186
ENST00000416470	ENSG00000235185	2187
ENST00000602662	ENSG00000270136	2188
ENST00000322753	ENSG00000173436	2190
ENST00000457263	ENSG00000226396	2201
ENST00000428975	ENSG00000158747	2202
ENST00000289753	ENSG00000158748	2211
ENST00000294543	ENSG00000162542	2212
ENST00000375121	ENSG00000178828	2221
ENST00000454736	ENSG00000235434	2222
ENST00000375120	ENSG00000169914	2223
ENST00000375116	ENSG00000188784	2226
ENST00000488028	ENSG00000242688	2227
ENST00000400520	ENSG00000188257	2228
ENST00000375108	ENSG00000127472	2241
ENST00000375105	ENSG00000117215	2243
ENST00000375102	ENSG00000158786	2244
ENST00000417884	ENSG00000227066	2246
ENST00000429261	ENSG00000187980	2248
ENST00000442226	ENSG00000225986	2251
ENST00000375099	ENSG00000162543	2252
ENST00000435552	ENSG00000228105	2253
ENST00000289815	ENSG00000158816	2256
ENST00000444923	ENSG00000226664	2260
ENST00000426428	ENSG00000236963	2265
ENST00000421114	ENSG00000226487	2268
ENST00000375078	ENSG00000162545	2269
ENST00000264198	ENSG00000090432	2271
ENST00000443195	ENSG00000215520	2272
ENST00000332947	ENSG00000183114	2273
ENST00000375071	ENSG00000158825	2274
ENST00000321556	ENSG00000158828	2276
ENST00000451424	ENSG00000117242	2278
ENST00000535128	ENSG00000257033	2280
ENST00000375048	ENSG00000244038	2282
ENST00000247986	ENSG00000117245	2292
ENST00000440621	ENSG00000235432	2296
ENST00000375031	ENSG00000189410	2297
ENST00000436642	ENSG00000233069	2304
ENST00000312239	ENSG00000127483	2305
ENST00000413451	ENSG00000203394	2307
ENST00000602326	ENSG00000075151	2321
ENST00000516105	ENSG00000251914	2328
ENST00000408881	ENSG00000221808	2338
ENST00000420703	ENSG00000233072	2339
ENST00000431514	ENSG00000236073	2341
ENST00000430808	ENSG00000235112	2342
ENST00000584440	ENSG00000266867	2343
ENST00000415912	ENSG00000117298	2344
ENST00000416959	ENSG00000236936	2354
ENST00000449034	ENSG00000231105	2358
ENST00000486095	ENSG00000236216	2359
ENST00000443127	ENSG00000228823	2361
ENST00000444647	ENSG00000236009	2362
ENST00000453025	ENSG00000227001	2364
ENST00000481504	ENSG00000187952	2366
ENST00000436658	ENSG00000186543	2368
ENST00000318220	ENSG00000142794	2371
ENST00000455962	ENSG00000176378	2379
ENST00000539907	ENSG00000162551	2382
ENST00000457706	ENSG00000233431	2390
ENST00000408854	ENSG00000221781	2391
ENST00000374765	ENSG00000076864	2396
ENST00000308271	ENSG00000090686	2407
ENST00000434488	ENSG00000231978	2421
ENST00000344642	ENSG00000187942	2422
ENST00000374695	ENSG00000142798	2426
ENST00000423231	ENSG00000232037	2441
ENST00000582599	ENSG00000264385	2445
ENST00000400277	ENSG00000219073	2446
ENST00000485776	ENSG00000263991	2448
ENST00000365049	ENSG00000201919	2449
ENST00000290122	ENSG00000142789	2450
ENST00000584415	ENSG00000263582	2452
ENST00000466485	ENSG00000263929	2454
ENST00000364403	ENSG00000201273	2455
ENST00000455966	ENSG00000228397	2456
ENST00000434233	ENSG00000218510	2457
ENST00000400259	ENSG00000070831	2462
ENST00000431803	ENSG00000230068	2468
ENST00000604049	ENSG00000271428	2469
